what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.16.0.v20150525-2001,"org.eclipse.mylyn.bugzilla.ui",1694004867708
started,bundle,org.eclipse.mylyn.builds.ui,1.8.0.v20150525-1955,"org.eclipse.mylyn.builds.ui",1694004867709
started,bundle,org.eclipse.mylyn.commons.core,3.16.0.v20150526-1951,"org.eclipse.mylyn.commons.core",1694004867709
started,bundle,org.eclipse.mylyn.commons.net,3.16.0.v20150526-1951,"org.eclipse.mylyn.commons.net",1694004867709
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.8.0.v20150526-1951,"org.eclipse.mylyn.commons.notifications.core",1694004867709
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.8.0.v20150526-1951,"org.eclipse.mylyn.commons.notifications.feed",1694004867710
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.8.0.v20150602-2344,"org.eclipse.mylyn.commons.notifications.ui",1694004867710
started,bundle,org.eclipse.mylyn.commons.repositories.ui,1.8.0.v20150526-1951,"org.eclipse.mylyn.commons.repositories.ui",1694004867711
started,bundle,org.eclipse.mylyn.commons.ui,3.16.0.v20150609-0602,"org.eclipse.mylyn.commons.ui",1694004867711
started,bundle,org.eclipse.mylyn.commons.workbench,3.16.0.v20150526-1951,"org.eclipse.mylyn.commons.workbench",1694004867711
started,bundle,org.eclipse.mylyn.context.core,3.16.0.v20150522-2252,"org.eclipse.mylyn.context.core",1694004867711
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.16.0.v20150522-2252,"org.eclipse.mylyn.context.tasks.ui",1694004867712
started,bundle,org.eclipse.mylyn.monitor.ui,3.16.0.v20150526-1951,"org.eclipse.mylyn.monitor.ui",1694004867712
started,bundle,org.eclipse.mylyn.tasks.index.core,3.16.0.v20150525-2001,"org.eclipse.mylyn.tasks.index.core",1694004867712
started,bundle,org.eclipse.mylyn.tasks.ui,3.16.0.v20150609-0543,"org.eclipse.mylyn.tasks.ui",1694004867714
started,bundle,org.eclipse.mylyn.team.ui,3.16.0.v20150522-2252,"org.eclipse.mylyn.team.ui",1694004867714
started,bundle,org.eclipse.oomph.base,1.1.0.v20150609-0914,"org.eclipse.oomph.base",1694004867714
started,bundle,org.eclipse.oomph.base.edit,1.1.0.v20150609-0914,"org.eclipse.oomph.base.edit",1694004867714
started,bundle,org.eclipse.oomph.jreinfo.ui,1.1.0.v20150610-0629,"org.eclipse.oomph.jreinfo.ui",1694004867716
started,bundle,org.eclipse.oomph.p2,1.1.0.v20150609-0914,"org.eclipse.oomph.p2",1694004867716
started,bundle,org.eclipse.oomph.p2.core,1.1.0.v20150610-1534,"org.eclipse.oomph.p2.core",1694004867717
started,bundle,org.eclipse.oomph.p2.edit,1.1.0.v20150609-0914,"org.eclipse.oomph.p2.edit",1694004867718
started,bundle,org.eclipse.oomph.p2.ui,1.1.0.v20150609-0951,"org.eclipse.oomph.p2.ui",1694004867719
started,bundle,org.eclipse.oomph.predicates,1.1.0.v20150609-0914,"org.eclipse.oomph.predicates",1694004867719
started,bundle,org.eclipse.oomph.predicates.edit,1.1.0.v20150609-0914,"org.eclipse.oomph.predicates.edit",1694004867719
started,bundle,org.eclipse.oomph.preferences,1.1.0.v20150609-1259,"org.eclipse.oomph.preferences",1694004867720
started,bundle,org.eclipse.oomph.resources,1.1.0.v20150609-0914,"org.eclipse.oomph.resources",1694004867721
started,bundle,org.eclipse.oomph.setup,1.1.0.v20150610-1559,"org.eclipse.oomph.setup",1694004867721
started,bundle,org.eclipse.oomph.setup.core,1.1.0.v20150610-0657,"org.eclipse.oomph.setup.core",1694004867721
started,bundle,org.eclipse.oomph.setup.edit,1.1.0.v20150609-0914,"org.eclipse.oomph.setup.edit",1694004867721
started,bundle,org.eclipse.oomph.setup.p2,1.1.0.v20150609-0914,"org.eclipse.oomph.setup.p2",1694004867722
started,bundle,org.eclipse.oomph.setup.ui,1.1.0.v20150610-1349,"org.eclipse.oomph.setup.ui",1694004867723
started,bundle,org.eclipse.oomph.ui,1.1.0.v20150610-0617,"org.eclipse.oomph.ui",1694004867723
started,bundle,org.eclipse.oomph.util,1.1.0.v20150610-0617,"org.eclipse.oomph.util",1694004867723
started,bundle,org.eclipse.oomph.workingsets,1.1.0.v20150609-0914,"org.eclipse.oomph.workingsets",1694004867724
started,bundle,org.eclipse.oomph.workingsets.editor,1.1.0.v20150609-1034,"org.eclipse.oomph.workingsets.editor",1694004867724
