what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1682446816338
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.304.v201012071645,"org.eclipse.wst.wsdl.ui",1682446816339
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.501.v201004201506,"org.eclipse.wst.wsi.ui",1682446816339
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1682446816340
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1682446816340
stopped,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1682446816340
stopped,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1682446816341
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1682446816341
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1682446816343
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.2.v201101212242,"org.eclipse.wst.xml.xpath.ui",1682446816343
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1682446816344
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1682446816345
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1682446816345
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1682446816345
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1682446816346
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.300.v201004150600,"org.eclipse.wst.jsdt.support.firefox",1682446816346
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1682446816346
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1682446816347
stopped,bundle,org.eclipse.search,3.10.0.v20150318-0856,"org.eclipse.search",1682446816347
stopped,bundle,org.eclipse.ui.ide.application,1.1.0.v20150422-0725,"org.eclipse.ui.ide.application",1682446816347
stopped,bundle,org.eclipse.ui.navigator.resources,3.5.1.v20160128-1644,"org.eclipse.ui.navigator.resources",1682446816348
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.7.200.v20140625-1835,"org.eclipse.ltk.ui.refactoring",1682446816348
stopped,bundle,org.eclipse.mylyn.debug.ui,3.16.0.v20150522-2252,"org.eclipse.mylyn.debug.ui",1682446816349
stopped,bundle,org.eclipse.mylyn.ide.ui,3.16.0.v20150522-2252,"org.eclipse.mylyn.ide.ui",1682446816349
stopped,bundle,org.eclipse.mylyn.resources.ui,3.16.0.v20150522-2252,"org.eclipse.mylyn.resources.ui",1682446816350
stopped,bundle,org.eclipse.mylyn.versions.ui,1.8.0.v20150525-1956,"org.eclipse.mylyn.versions.ui",1682446816350
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1682446816350
stopped,bundle,org.eclipse.team.ui,3.7.200.v20150203-1452,"org.eclipse.team.ui",1682446816350
stopped,bundle,org.eclipse.compare,3.5.600.v20150420-1449,"org.eclipse.compare",1682446816351
stopped,bundle,cucumber.eclipse.backends.java,1.0.0.202107150747,"cucumber.eclipse.backends.java",1682446816354
stopped,bundle,org.eclipse.emf.importer.ecore,2.6.0.v20100521-1846,"org.eclipse.emf.importer.ecore",1682446816355
stopped,bundle,org.eclipse.emf.importer.java,2.6.0.v20100521-1846,"org.eclipse.emf.importer.java",1682446816356
stopped,bundle,org.eclipse.emf.importer.rose,2.6.0.v20100521-1846,"org.eclipse.emf.importer.rose",1682446816356
stopped,bundle,org.eclipse.emf.ant,2.6.1.v20100905-1631,"org.eclipse.emf.ant",1682446816357
stopped,bundle,org.eclipse.emf.exporter,2.6.0.v20100521-1846,"org.eclipse.emf.exporter",1682446816358
stopped,bundle,org.eclipse.emf.importer,2.6.0.v20100521-1846,"org.eclipse.emf.importer",1682446816358
stopped,bundle,org.eclipse.emf.converter,2.5.0.v20100914-1218,"org.eclipse.emf.converter",1682446816358
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ecore.ui",1682446816358
stopped,bundle,org.eclipse.emf.codegen.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.codegen.ecore",1682446816358
stopped,bundle,org.eclipse.emf.codegen.ui,2.6.0.v20100914-1218,"org.eclipse.emf.codegen.ui",1682446816358
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.300.v201003112036,"org.eclipse.jst.j2ee.ejb.annotation.model",1682446816359
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1682446816359
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.406.v201004211805,"org.eclipse.jst.ws.axis.consumption.core",1682446816360
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1682446816360
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.507.v201004211805,"org.eclipse.jst.ws.consumption",1682446816362
stopped,bundle,org.eclipse.jst.ws,1.0.507.v201004211805,"org.eclipse.jst.ws",1682446816362
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1682446816363
stopped,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1682446816364
stopped,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1682446816365
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.404.v201102030400,"org.eclipse.jst.j2ee.web",1682446816366
stopped,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1682446816368
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1682446816368
